,SPY,QQQ
Ticker,SPY,QQQ
Date,,
2017-05-05,239.6999969482422,137.5399932861328
2017-05-08,239.66000366210938,137.83999633789062
2017-05-09,239.44000244140625,138.32000732421875
2017-05-10,239.8699951171875,138.39999389648438
2017-05-11,239.3800048828125,138.2899932861328
2017-05-12,238.97999572753906,138.60000610351562
2017-05-15,240.3000030517578,139.0399932861328
2017-05-16,240.0800018310547,139.6199951171875
2017-05-17,235.82000732421875,136.07000732421875
2017-05-18,236.77000427246094,137.25999450683594
2017-05-19,238.30999755859375,137.83999633789062
2017-05-22,239.52000427246094,139.0
2017-05-23,240.0500030517578,139.13999938964844
2017-05-24,240.61000061035156,139.77999877929688
2017-05-25,241.75999450683594,140.97000122070312
2017-05-26,241.7100067138672,141.22000122070312
2017-05-30,241.5,141.33999633789062
2017-05-31,241.44000244140625,141.2899932861328
2017-06-01,243.36000061035156,141.83999633789062
2017-06-02,244.1699981689453,143.4600067138672
2017-06-05,243.99000549316406,143.42999267578125
2017-06-06,243.2100067138672,142.86000061035156
2017-06-07,243.66000366210938,143.4199981689453
2017-06-08,243.77999877929688,143.57000732421875
2017-06-09,243.41000366210938,139.97999572753906
2017-06-12,243.36000061035156,139.22999572753906
2017-06-13,244.5500030517578,140.36000061035156
2017-06-14,244.24000549316406,139.75
2017-06-15,243.77000427246094,139.1300048828125
2017-06-16,242.63999938964844,138.14999389648438
2017-06-19,244.66000366210938,140.4600067138672
2017-06-20,243.00999450683594,139.36000061035156
2017-06-21,242.9499969482422,140.74000549316406
2017-06-22,242.83999633789062,140.6999969482422
2017-06-23,243.1300048828125,141.24000549316406
2017-06-26,243.2899932861328,140.5800018310547
2017-06-27,241.3300018310547,138.02999877929688
2017-06-28,243.49000549316406,140.02000427246094
2017-06-29,241.35000610351562,137.58999633789062
2017-06-30,241.8000030517578,137.63999938964844
2017-07-03,242.2100067138672,136.19000244140625
2017-07-05,242.77000427246094,137.52999877929688
2017-07-06,240.5500030517578,136.2899932861328
2017-07-07,242.11000061035156,137.75999450683594
2017-07-10,242.3699951171875,138.66000366210938
2017-07-11,242.19000244140625,139.0500030517578
2017-07-12,244.00999450683594,140.6999969482422
2017-07-13,244.4199981689453,141.00999450683594
2017-07-14,245.55999755859375,142.1199951171875
2017-07-17,245.52999877929688,142.19000244140625
2017-07-18,245.66000366210938,143.13999938964844
2017-07-19,246.99000549316406,143.97999572753906
2017-07-20,247.10000610351562,144.1699981689453
2017-07-21,246.8800048828125,144.11000061035156
2017-07-24,246.82000732421875,144.77000427246094
2017-07-25,247.4199981689453,144.39999389648438
2017-07-26,247.42999267578125,144.8699951171875
2017-07-27,247.1999969482422,143.9600067138672
2017-07-28,246.91000366210938,143.83999633789062
2017-07-31,246.77000427246094,143.22999572753906
2017-08-01,247.32000732421875,143.55999755859375
2017-08-02,247.44000244140625,143.9499969482422
2017-08-03,246.9600067138672,143.38999938964844
2017-08-04,247.41000366210938,143.64999389648438
2017-08-07,247.8699951171875,144.55999755859375
2017-08-08,247.25999450683594,144.30999755859375
2017-08-09,247.25,144.1199951171875
2017-08-10,243.75999450683594,141.02999877929688
2017-08-11,244.1199951171875,142.10000610351562
2017-08-14,246.5399932861328,143.92999267578125
2017-08-15,246.50999450683594,144.02999877929688
2017-08-16,246.94000244140625,144.27999877929688
2017-08-17,243.08999633789062,141.3300018310547
2017-08-18,242.7100067138672,141.22999572753906
2017-08-21,242.89999389648438,141.0500030517578
2017-08-22,245.44000244140625,143.1999969482422
2017-08-23,244.55999755859375,142.69000244140625
2017-08-24,243.99000549316406,142.27000427246094
2017-08-25,244.55999755859375,141.97000122070312
2017-08-28,244.57000732421875,142.41000366210938
2017-08-29,244.85000610351562,142.97000122070312
2017-08-30,246.00999450683594,144.64999389648438
2017-08-31,247.49000549316406,146.1999969482422
